,id,price,level,levels,rooms,area,kitchen_area,house_id
502,502,3350000,5,5,2,48.6,9.0,1353977
503,503,1885000,10,14,1,29.0,7.0,2452671
504,504,8725920,6,8,2,58.55,12.13,1119525
505,505,8090000,7,9,2,45.4,6.0,1736324
506,506,2700000,6,22,1,43.0,12.0,1847456
507,507,6500000,3,16,2,62.0,30.0,2017659
508,508,3100000,4,5,2,43.0,6.5,2302264
509,509,7640000,7,17,2,76.0,12.0,2487833
510,510,3243000,13,18,1,37.14,10.3,2535132
511,511,6800000,2,5,1,31.0,6.0,1428574
512,512,3800000,5,9,4,79.0,10.2,2161707
513,513,23084790,27,40,2,60.59,19.64,2379324
514,514,12500000,3,6,1,55.0,22.0,1076478
515,515,6390000,2,9,2,70.5,14.4,2388668
516,516,1650000,3,9,1,34.0,6.0,2107489
517,517,7850000,5,18,3,70.0,16.0,2456671
518,518,6582550,4,22,2,53.3,16.6,1369322
519,519,9400000,3,9,1,34.6,6.3,2414122
520,520,8300000,8,9,1,30.0,6.0,2175819
521,521,1850000,2,9,1,33.8,7.7,2185469
522,522,6790000,3,9,2,44.6,6.6,1073669
523,523,2570000,4,5,1,32.0,6.0,1825067
524,524,3500000,2,5,0,30.0,6.0,1327349
525,525,4300000,9,16,1,39.5,15.0,2177158
526,526,2250000,20,20,1,42.0,10.0,784968
527,527,3600000,2,10,3,62.0,8.8,2053545
528,528,2180000,1,10,2,56.5,10.0,1238691
529,529,21300941,10,28,3,92.8,14.0,2551710
530,530,12500000,3,17,2,60.3,12.0,2134448
531,531,2570000,7,10,1,32.0,6.0,657198
532,532,4500000,6,9,3,62.0,7.5,1927037
533,533,1600000,7,9,1,33.0,11.0,1707548
534,534,1550000,3,6,0,30.0,6.3,2787871
535,535,1960000,3,5,3,48.0,6.0,840527
